,writer
1147,David Lynch
1148,David Madsen
1149,David Magee
1150,David Mamet
1151,David Mandel
1152,David Marconi
1153,David McKenna
1154,David Michôd
1155,David Mickey Evans
1156,David Mitchell
1157,David Morrell
1158,David N. Titcher
1159,David N. Weiss
1160,David Newman
1161,David Nicholls
1162,David O. Russell
1163,David Odell
1164,David Pastor
1165,David Paterson
1166,David Price
1167,David Rabe
1168,David Rabinowitz
1169,David Robert Mitchell
1170,David Robinson
1171,David Ronn
1172,David Rose
1173,David S. Goyer
1174,David S. Ward
1175,David Saperstein
1176,David Scarpa
1177,David Schmidt
1178,David Schneider
1179,David Schneiderman
1180,David Seidler
1181,David Self
1182,David Seltzer
1183,David Shaber
1184,David Sheffield
1185,David Simkins
1186,David Spade
1187,David Stassen
1188,David Stenn
1189,David Twohy
1190,David Veloz
1191,David Wagner
1192,David Webb Peoples
1193,David Wechter
1194,David Weisberg
1195,David Weissman
1196,David Williamson
1197,David Z. Weinstein
1198,David Zelag Goodman
1199,David Zucker
1200,Dax Shepard
1201,DeWitt Bodeen
1202,Dean Craig
1203,Dean DeBlois
1204,Dean Devlin
1205,Dean Georgaris
1206,Dean Jennings
1207,Dean Lorey
1208,Dean Pitchford
1209,Dean R. Koontz
1210,Deborah Amelon
1211,Deborah Blum
1212,Deborah Davis
1213,Deborah Kaplan
1214,Deborah Lipstadt
1215,Deborah Moggach
1216,Deborah Schwartz
1217,Debra Granik
1218,Debra Hill
1219,Debra Sullivan
1220,Declan May
1221,Delia Ephron
1222,Demian Lichtenstein
1223,Denis Hamill
1224,Denis Johnson
1225,Denis O'Neill
1226,Denis Villeneuve
1227,Denise Filiatrault
1228,Dennis Drake
1229,Dennis Feldman
1230,Dennis Hackin
1231,Dennis Kelly
1232,Dennis Lee
1233,Dennis Lehane
1234,Dennis Marks
1235,Dennis McIntyre
1236,Dennis McNicholas
1237,Dennis Paoli
1238,Dennis Potter
1239,Dennis Shryack
1240,Denver Moore
1241,Denys Arcand
1242,Deon Taylor
1243,Derek Cianfrance
1244,Derek Connolly
1245,Derek Drymon
1246,Derek Guiley
1247,Derek Haas
1248,Derek Harvie
1249,Derek Kolstad
1250,Derek Lambert
1251,Deric Washburn
1252,Derrick Borte
1253,Desmond Nakano
1254,Destin Daniel Cretton
1255,Dhani Lipsius
1256,Diablo Cody
1257,Dian Fossey
1258,Diana Wynne Jones
1259,Diana Young
1260,Diane Ackerman
1261,Diane English
1262,Diane Ruggiero-Wright
1263,Diane Thomas
1264,Dianne Houston
1265,Dick Beebe
1266,Dick Clement
1267,Dick King-Smith
1268,Dick Randall
1269,Dick Wolf
1270,Diego Kaplan
1271,Dilip Shukla
1272,Dimitri Villard
1273,Dirk Blackman
1274,Djordje Milicevic
1275,Dodie Smith
1276,Dominique Lapierre
1277,Domonic Muir
1278,Domonic Paris
1279,Don Bluth
1280,Don Calame
1281,Don Carlos Dunaway
1282,Don Coscarelli
1283,Don D. Scott
1284,Don Holley
1285,Don Jakoby
1286,Don Lake
1287,Don MacPherson
1288,Don Mancini
1289,Don McGuire
1290,Don McKellar
1291,Don Michael Paul
1292,Don Payne
1293,Don Petersen
1294,Don Piper
1295,Don Rhymer
1296,Don Roos
1297,Don Winslow
1298,Donald A. Wollheim
1299,Donald Bakeer
1300,Donald E. Stewart
